,censusTract,Year,City,CommunityName,Detailed_Name,SPA,SD,CD,SSD,AD,DemogSurveySample,YouthCountSample,totStreetSingAdult,totStreetFamHH,totStreetFamMemb,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totYouthIndiv,totYouthUnaccKid,totYouthFamHH,totYouthFamMemb,totEsAdultSingAdult,totESAdultFamHH,totEsAdultFamMemb,totEsYouthSingYouth,totESYouthFamHH,totEsYouthFamMemb,totEsYouthUnaccYouth,totThAdultSingAdult,totTHAdultFamHH,totThAdultFamMemb,totThYouthSingYouth,totTHYouthFamHH,totThYouthFamMemb,totThYouthUnaccYouth,totShAdultSingAdult,totSHAdultFamHH,totShAdultFamMemb,totShYouthSingYouth,totSHYouthFamHH,totShYouthFamMemb,totShYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople,ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
2638,431900,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,4,0,0,0,0,1,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,91007.0,6.0,37.0,431900.0,6037431900.0,283.0,96.0,61040.0,61040.0,34095.0,12750.0,14408571.0,14395473.0,3828.0,1443.0,1069135.0,1069135.0,0.83,0.75,0.42,0.42,7.39,6.65,5.71,5.71
2639,431900,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,4,0,0,0,0,1,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,91780.0,6.0,37.0,431900.0,6037431900.0,3545.0,1347.0,1008095.0,1008095.0,34332.0,11828.0,9930899.0,9917339.0,3828.0,1443.0,1069135.0,1069135.0,10.33,11.39,10.15,10.16,92.61,93.35,94.29,94.29
2640,432000,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,91007.0,6.0,37.0,432000.0,6037432000.0,1275.0,372.0,182029.0,182029.0,34095.0,12750.0,14408571.0,14395473.0,8182.0,2768.0,2238702.0,2238702.0,3.74,2.92,1.26,1.26,15.58,13.44,8.13,8.13
2641,432000,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,91780.0,6.0,37.0,432000.0,6037432000.0,6907.0,2396.0,2056673.0,2056673.0,34332.0,11828.0,9930899.0,9917339.0,8182.0,2768.0,2238702.0,2238702.0,20.12,20.26,20.71,20.74,84.42,86.56,91.87,91.87
2642,432101,2016,Temple City,Temple City,Temple City,3,5,0,22,49,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91780.0,6.0,37.0,432101.0,6037432101.0,4179.0,1403.0,1172403.0,1172403.0,34332.0,11828.0,9930899.0,9917339.0,4179.0,1403.0,1172403.0,1172403.0,12.17,11.86,11.81,11.82,100.0,100.0,100.0,100.0
2643,432102,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,91731.0,6.0,37.0,432102.0,6037432102.0,0.0,0.0,1428.0,1428.0,29591.0,8381.0,10048062.0,9878514.0,5633.0,1793.0,1877153.0,1877153.0,0.0,0.0,0.01,0.01,0.0,0.0,0.08,0.08
2644,432102,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,91780.0,6.0,37.0,432102.0,6037432102.0,5633.0,1793.0,1875725.0,1875725.0,34332.0,11828.0,9930899.0,9917339.0,5633.0,1793.0,1877153.0,1877153.0,16.41,15.16,18.89,18.91,100.0,100.0,99.92,99.92
2645,480101,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,91775.0,6.0,37.0,480101.0,6037480101.0,783.0,268.0,227921.0,227921.0,23988.0,8567.0,7971786.0,7934784.0,3908.0,1302.0,1135171.0,1135171.0,3.26,3.13,2.86,2.87,20.04,20.58,20.08,20.08
2646,480101,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,91780.0,6.0,37.0,480101.0,6037480101.0,3125.0,1034.0,907250.0,907250.0,34332.0,11828.0,9930899.0,9917339.0,3908.0,1302.0,1135171.0,1135171.0,9.1,8.74,9.14,9.15,79.96,79.42,79.92,79.92
2647,481201,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,91776.0,6.0,37.0,481201.0,6037481201.0,255.0,75.0,170557.0,170557.0,38475.0,12493.0,8819870.0,8818748.0,3598.0,1211.0,1001347.0,1001347.0,0.66,0.6,1.93,1.93,7.09,6.19,17.03,17.03
2648,481201,2016,Temple City,Temple City,Temple City,3,5,0,22,49,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,91780.0,6.0,37.0,481201.0,6037481201.0,3343.0,1136.0,830790.0,830790.0,34332.0,11828.0,9930899.0,9917339.0,3598.0,1211.0,1001347.0,1001347.0,9.74,9.6,8.37,8.38,92.91,93.81,82.97,82.97
2649,800102,2016,Topanga,Topanga,Topanga,2,3,0,27,45,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90265.0,6.0,37.0,800102.0,6037800102.0,123.0,60.0,2645633.0,2645633.0,18116.0,9033.0,298041072.0,279184812.0,7078.0,3134.0,52711505.0,52696953.0,0.68,0.66,0.89,0.95,1.74,1.91,5.02,5.02
2650,800102,2016,Topanga,Topanga,Topanga,2,3,0,27,45,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90290.0,6.0,37.0,800102.0,6037800102.0,6074.0,2730.0,36565398.0,36550846.0,6368.0,2867.0,51959503.0,51935407.0,7078.0,3134.0,52711505.0,52696953.0,95.38,95.22,70.37,70.38,85.82,87.11,69.37,69.36
2651,800102,2016,Topanga,Topanga,Topanga,2,3,0,27,45,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91302.0,6.0,37.0,800102.0,6037800102.0,498.0,209.0,13141795.0,13141795.0,25709.0,9702.0,69273356.0,69143126.0,7078.0,3134.0,52711505.0,52696953.0,1.94,2.15,18.97,19.01,7.04,6.67,24.93,24.94
